symbol
RELIANCE
TCS
HDFCBANK
INFY
ICICIBANK
HINDUNILVR
SBIN
BHARTIARTL
KOTAKBANK
LT
AXISBANK
ITC
BAJFINANCE
MARUTI
ASIANPAINT
HCLTECH
SUNPHARMA
TITAN
ULTRACEMCO
WIPRO
